name;cryptominisat(jni);glucose(jni);minisat(jni);sat4j;lingeling(jni);plingeling(jni);minisatprover(jni)
state_old;14677;823;424;3106;1896;1543;533
state_old;14110;761;289;2762;1877;1392;294
state_old;15611;719;281;3763;1858;1392;273
state_old;16299;787;335;2929;1980;1490;400
state_old;17044;830;292;3045;2138;1480;287
state_old;16489;1163;286;3310;2087;1700;434
state_old;17556;804;334;3712;1985;1572;299
state_old;14729;711;276;2706;1890;1482;272
state_old;13972;711;286;2690;1847;1368;276
state_old;14070;704;274;2754;1847;1364;261
state_new;1079;813;1072;532;1102;649;161
state_new;1046;763;1074;527;1122;647;160
state_new;1063;750;1063;533;1120;646;157
state_new;1175;925;1131;629;1634;726;238
state_new;1119;871;2185;621;1163;662;193
state_new;1168;780;1137;770;1095;662;170
state_new;1096;844;1104;689;1182;787;166
state_new;1064;857;1138;551;1184;717;183
state_new;1102;898;1375;652;1281;674;160
state_new;1096;849;1136;567;1161;693;154
transition_old;13111;508;498;605;2494;1765;5282
transition_old;13762;494;521;751;2358;1737;5049
transition_old;13000;513;495;591;2304;1663;5460
transition_old;14359;509;500;812;2674;1812;5055
transition_old;13473;464;526;614;2739;1688;5354
transition_old;16539;531;517;932;2531;1690;5433
transition_old;14150;499;913;709;2376;1859;6683
transition_old;14297;522;552;587;2412;1694;5957
transition_old;14265;490;512;637;2286;1722;4960
transition_old;13028;492;480;591;2703;1833;5712
transition_new;673;193;501;2547;881;548;103
transition_new;716;192;503;2591;928;591;92
transition_new;706;203;500;2544;911;567;90
transition_new;762;218;500;2634;892;543;95
transition_new;723;191;488;2627;927;573;91
transition_new;722;187;465;2433;909;606;93
transition_new;691;182;469;2285;886;539;87
transition_new;679;187;490;2267;907;546;90
transition_new;700;184;485;2296;891;548;90
transition_new;703;192;492;2489;915;548;94
